product_id,slug,issue_type,group_size,current_title,proposed_title,proposed_sku,price_toman,cost_usd,supplier_product_id,access_type,quota,duration,warranty,is_active,category,decision,title_confidence,base_slug,redirect_to,owner,status
cmte4j1q3002ku2x8vovhl3tj,1405-xbox-game-pass-ultimate-1-year-warranty-3-months,true-duplicate,2,اشتراک بازی XBOX GAME PASS ULTIMATE (۳ ماهه),— (۱ ساله) — با گارانتی,ITEM-ACC-1M,8514000,30.8,1405,نامشخص,,۱ ساله,با گارانتی,غیرفعال,گیمینگ و گیفت‌کارت,نگهداشتن (مبنا),پایین,1405-xbox-game-pass-ultimate-1-year-warranty-3-months,,,در انتظار تأیید
cmty16qsk000bpbg4li1sn6ld,709-100-telegram-stars,similar-title-family,134,100 Telegram Stars,Telegram,TELEGRAM-ACC-M,783000,1.7,709,نامشخص,,,,فعال,شبکه‌های اجتماعی,بررسی دستی (عنوان),پایین,,,,نیازمند بررسی
cmty16qsx000dpbg4vcm5xlst,712-1000-telegram-stars,similar-title-family,134,1000 Telegram Stars,Telegram,TELEGRAM-ACC-M,5871000,17,712,نامشخص,,,,فعال,شبکه‌های اجتماعی,بررسی دستی (عنوان),پایین,,,,نیازمند بررسی
cmty16qta000fpbg4sp2jjzkp,4273-100m-credit-api-codex-۱-روزه,true-duplicate,2,100M Credit API Codex (۱ روزه),Codex API — ۱۰۰M توکن (۱ روزه) — با گارانتی,CODEX-API-100M-1D,1998000,4.82,4273,API/توکن,100M توکن,۱ روزه,با گارانتی,فعال,ابزارهای توسعه و برنامه‌نویسی,نگهداشتن (مبنا),بالا,4273-100m-credit-api-codex-۱-روزه,,,در انتظار تأیید
cmty16qtk000hpbg4u5tgauuz,4244-10m-credit-api-codex-۱-روزه,true-duplicate,3,10M Credit API Codex (۱ روزه),Codex API — ۱۰M توکن (۱ روزه) — با گارانتی,CODEX-API-10M-1D,682000,1.48,4244,API/توکن,10M توکن,۱ روزه,با گارانتی,فعال,ابزارهای توسعه و برنامه‌نویسی,نگهداشتن (مبنا),بالا,4244-10m-credit-api-codex-۱-روزه,,,در انتظار تأیید
cmty16quu000tpbg4nyj8stcx,4274-200m-credit-api-codex-۱-روزه,similar-title-family,19,200M Credit API Codex (۱ روزه),Codex API — ۲۰۰M توکن (۱ روزه) — با گارانتی,CODEX-API-200M-1D,2803000,7.61,4274,API/توکن,200M توکن,۱ روزه,با گارانتی,فعال,ابزارهای توسعه و برنامه‌نویسی,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16quy000vpbg4cdggz8hs,4271-20m-credit-api-codex-۱-روزه,similar-title-family,19,20M Credit API Codex (۱ روزه),Codex API — ۲۰M توکن (۱ روزه) — با گارانتی,CODEX-API-20M-1D,825000,1.79,4271,API/توکن,20M توکن,۱ روزه,با گارانتی,فعال,ابزارهای توسعه و برنامه‌نویسی,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16qv7000zpbg42o5idk08,710-250-telegram-stars,similar-title-family,134,250 Telegram Stars,Telegram,TELEGRAM-ACC-M,1762000,4.25,710,نامشخص,,,,فعال,شبکه‌های اجتماعی,بررسی دستی (عنوان),پایین,,,,نیازمند بررسی
cmty16qw5001bpbg4f3lykce8,708-50-telegram-stars,similar-title-family,134,50 Telegram Stars,Telegram,TELEGRAM-ACC-M,392000,0.85,708,نامشخص,,,,فعال,شبکه‌های اجتماعی,بررسی دستی (عنوان),پایین,,,,نیازمند بررسی
cmty16qwc001dpbg4sjg71z2v,711-500-telegram-stars,similar-title-family,134,500 Telegram Stars,Telegram,TELEGRAM-ACC-M,3131000,8.5,711,نامشخص,,,,فعال,شبکه‌های اجتماعی,بررسی دستی (عنوان),پایین,,,,نیازمند بررسی
cmty16qwg001fpbg49pjyhukr,4701-500m-credit-api-codex-۱-روزه,true-duplicate,2,500M Credit API Codex (۱ روزه),Codex API — ۵۰۰M توکن (۱ روزه) — با گارانتی,CODEX-API-500M-1D,4534000,13.13,4701,API/توکن,500M توکن,۱ روزه,با گارانتی,غیرفعال,ابزارهای توسعه و برنامه‌نویسی,ادغام/آرشیو,بالا,4275-500m-credit-api-codex-۱-روزه,4275-500m-credit-api-codex-۱-روزه,,در انتظار تأیید
cmty16qwk001hpbg46j3z004f,4272-50m-credit-api-codex-۱-روزه,true-duplicate,2,50M Credit API Codex (۱ روزه),Codex API — ۵۰M توکن (۱ روزه) — با گارانتی,CODEX-API-50M-1D,1368000,3.3,4272,API/توکن,50M توکن,۱ روزه,با گارانتی,فعال,ابزارهای توسعه و برنامه‌نویسی,نگهداشتن (مبنا),بالا,4272-50m-credit-api-codex-۱-روزه,,,در انتظار تأیید
cmty16qxk001xpbg40cwugnb2,3366-account-x-stock-2009-2022-us-bull-bear-bh24h,true-duplicate,2,Account X Stock 2009-2022 US Bull-Bear-BH24H,— اکانت (۱ روزه),ITEM-ACC-1D,369000,0.8,3,اکانت,,۱ روزه,,فعال,نرم‌افزار و بهره‌وری,نگهداشتن (مبنا),پایین,3366-account-x-stock-2009-2022-us-bull-bear-bh24h,,,در انتظار تأیید
cmty16qy30025pbg4myu9ce8r,2267-amazon-gift-card-us-amazon-gift-card-us-10-usd,similar-title-family,10,Amazon Gift Card (US) - Amazon Gift Card US - 10 USD,Amazon Gift Card گیفت‌کارت ۱۰$,AMAZON-GC-10USD-M,4075000,11.8,2267,گیفت‌کارت,10$,,,فعال,نرم‌افزار و بهره‌وری,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16qy60027pbg4txoaueom,2272-amazon-gift-card-us-amazon-gift-card-us-100-usd,similar-title-family,10,Amazon Gift Card (US) - Amazon Gift Card US - 100 USD,Amazon Gift Card گیفت‌کارت ۱۰۰$,AMAZON-GC-100USD-M,32591000,117.98,2272,گیفت‌کارت,100$,,,فعال,نرم‌افزار و بهره‌وری,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16qya0029pbg46xlykve6,2268-amazon-gift-card-us-amazon-gift-card-us-15-usd,similar-title-family,10,Amazon Gift Card (US) - Amazon Gift Card US - 15 USD,Amazon Gift Card گیفت‌کارت ۱۵$,AMAZON-GC-15USD-M,6116000,17.71,2268,گیفت‌کارت,15$,,,فعال,نرم‌افزار و بهره‌وری,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16qye002bpbg4j30vo3yo,2269-amazon-gift-card-us-amazon-gift-card-us-20-usd,similar-title-family,10,Amazon Gift Card (US) - Amazon Gift Card US - 20 USD,Amazon Gift Card گیفت‌کارت ۲۰$,AMAZON-GC-20USD-M,7606000,23.6,2269,گیفت‌کارت,20$,,,فعال,نرم‌افزار و بهره‌وری,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16qyi002dpbg4kgvuba65,2273-amazon-gift-card-us-amazon-gift-card-us-200-usd,similar-title-family,10,Amazon Gift Card (US) - Amazon Gift Card US - 200 USD,Amazon Gift Card گیفت‌کارت ۲۰۰$,AMAZON-GC-200USD-M,62461000,235.94,2273,گیفت‌کارت,200$,,,فعال,نرم‌افزار و بهره‌وری,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16qyn002fpbg47v502r3e,2270-amazon-gift-card-us-amazon-gift-card-us-25-usd,similar-title-family,10,Amazon Gift Card (US) - Amazon Gift Card US - 25 USD,Amazon Gift Card گیفت‌کارت ۲۵$,AMAZON-GC-25USD-M,9511000,29.51,2270,گیفت‌کارت,25$,,,فعال,نرم‌افزار و بهره‌وری,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16qyq002hpbg4v3wru8rp,2263-amazon-gift-card-us-amazon-gift-card-us-300-usd,similar-title-family,10,Amazon Gift Card (US) - Amazon Gift Card US - 300 USD,Amazon Gift Card گیفت‌کارت ۳۰۰$,AMAZON-GC-300USD-M,93691000,353.91,2263,گیفت‌کارت,300$,,,فعال,نرم‌افزار و بهره‌وری,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16qyv002jpbg4ug4w9j0o,2266-amazon-gift-card-us-amazon-gift-card-us-5-usd,similar-title-family,10,Amazon Gift Card (US) - Amazon Gift Card US - 5 USD,Amazon Gift Card گیفت‌کارت ۵$,AMAZON-GC-5USD-M,2177000,5.91,2266,گیفت‌کارت,5$,,,فعال,نرم‌افزار و بهره‌وری,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16qyz002lpbg4edrqfi3j,2271-amazon-gift-card-us-amazon-gift-card-us-50-usd,similar-title-family,10,Amazon Gift Card (US) - Amazon Gift Card US - 50 USD,Amazon Gift Card گیفت‌کارت ۵۰$,AMAZON-GC-50USD-M,19012000,58.99,2271,گیفت‌کارت,50$,,,فعال,نرم‌افزار و بهره‌وری,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16qz3002npbg4q3o92ki4,2264-amazon-gift-card-us-amazon-gift-card-us-500-usd,similar-title-family,10,Amazon Gift Card (US) - Amazon Gift Card US - 500 USD,Amazon Gift Card گیفت‌کارت ۵۰۰$,AMAZON-GC-500USD-M,149360000,589.84,2264,گیفت‌کارت,500$,,,فعال,نرم‌افزار و بهره‌وری,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16qzo002xpbg4zo4wvw43,2375-claude-pro-۱-روزه,true-duplicate+misleading-title,2,Claude Pro (۱ روزه),Claude Pro API — ۱۰M توکن (۱ روزه) — با گارانتی,CLAUDE-API-10M-1D,1003000,2.42,2375,API/توکن,10M توکن,۱ روزه,با گارانتی,فعال,ابزارهای توسعه و برنامه‌نویسی,نگهداشتن (مبنا),بالا,2375-claude-pro-۱-روزه,,,در انتظار تأیید
cmty16qzt002zpbg4thtsqkx1,2357-api-codex-100-token-۱-ماهه,similar-title-family,2,API CODEX 100$ TOKEN (۱ ماهه),Codex API — ۱۰۰$ (۱ ماهه) — با گارانتی,CODEX-API-100USD-1M,3809000,11.03,2357,API/توکن,100$,۱ ماهه,با گارانتی,فعال,ابزارهای توسعه و برنامه‌نویسی,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16qzx0031pbg43pqz5xmg,2356-api-codex-50-token-۱-ماهه,similar-title-family,2,API CODEX 50$ TOKEN (۱ ماهه),Codex API — ۵۰$ (۱ ماهه) — با گارانتی,CODEX-API-50USD-1M,2472000,6.71,2356,API/توکن,50$,۱ ماهه,با گارانتی,فعال,ابزارهای توسعه و برنامه‌نویسی,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16r010033pbg4xkq8szwy,3062-cursor-pro-۱-ماهه,similar-title-family,5,اکانت کرسر پرو ۱ ماهه (Cursor Pro AI Code Editor),Cursor Pro API — ۲۶۰۰ کردیت (۱ ماهه) — با گارانتی,CURSOR-API-2600-1M,3674000,10.64,3062,API/توکن,2600 کردیت,۱ ماهه,با گارانتی,فعال,ابزارهای توسعه و برنامه‌نویسی,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16r050035pbg4neiluein,3061-cursor-pro-۱-ماهه,similar-title-family,5,Cursor Pro (۱ ماهه),Cursor Pro API — ۴۰۰ کردیت (۱ ماهه) — با گارانتی,CURSOR-API-400-1M,5601000,16.22,3061,API/توکن,400 کردیت,۱ ماهه,با گارانتی,فعال,ابزارهای توسعه و برنامه‌نویسی,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16r090037pbg4m73v13ud,2372-cursor-pro-۱-ماهه,similar-title-family,5,ابزار کدنویسی ویندسرف / کرسر پرو ۱ ماهه (Windsurf & Cursor),Cursor Pro API — ۶۵۰۰ کردیت (۱ ماهه) — با گارانتی,CURSOR-API-6500-1M,5135000,14.87,2372,API/توکن,6500 کردیت,۱ ماهه,با گارانتی,فعال,ابزارهای توسعه و برنامه‌نویسی,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16r2q004dpbg4tb16mqwq,2911-canva-business-۱-ساله,similar-title-family,5,Canva Business (۱ ساله),Canva Pro (۱ ساله),CANVA-ACC-1M,19901000,66.5,2911,نامشخص,,۱ ساله,,فعال,طراحی و گرافیک,بررسی دستی (عنوان),پایین,,,,نیازمند بررسی
cmty16r31004jpbg4ajkbk3xh,1797-capcut-pro-۱-ماهه,true-duplicate,3,کپ‌کات پرو ۱ ماهه (CapCut Pro VIP) | بدون قطعی,CapCut Pro (۱ ماهه) — با گارانتی,CAPCUT-ACC-1M-VIP,1683000,4.06,1797,نامشخص,,۱ ماهه,با گارانتی,فعال,طراحی و گرافیک,نگهداشتن (مبنا),پایین,1797-capcut-pro-۱-ماهه,,,در انتظار تأیید
cmty16r3v004xpbg4x78widdu,2413-capcut-pro-team-۳-ماهه,true-duplicate,2,CapCut Pro Team (۳ ماهه),CapCut Pro (۳ ماهه) — با گارانتی,CAPCUT-ACC-3M,3404000,9.24,2413,نامشخص,,۳ ماهه,با گارانتی,فعال,طراحی و گرافیک,نگهداشتن (مبنا),پایین,2413-capcut-pro-team-۳-ماهه,,,در انتظار تأیید
cmty16r430051pbg4m7bxm9es,2123-cdk-grok-heavy-cursor-ultra-is-not-included-۱-ماهه,similar-title-family,5,CDK Grok Heavy + Cursor Ultra is not included (۱ ماهه),Cursor Pro (۱ ماهه),CURSOR-ACC-1M,18193000,60.79,2123,نامشخص,,۱ ماهه,,غیرفعال,ابزارهای توسعه و برنامه‌نویسی,بررسی دستی (عنوان),پایین,,,,نیازمند بررسی
cmty16r480053pbg4qe7ykbau,2902-chatgpt-business-invite-۱-ماهه,similar-title-family,8,Chatgpt Business invite (۱ ماهه),ChatGPT (۱ ماهه),CHATGPT-ACC-1M,4686000,13.57,2902,نامشخص,,۱ ماهه,,غیرفعال,هوش مصنوعی,بررسی دستی (عنوان),پایین,,,,نیازمند بررسی
cmty16r7a006dpbg4z8wclgnx,2379-claude-pro-۱-ماهه,similar-title-family,4,اکانت کلود پرو اختصاصی (Claude Pro AI),Claude Pro API — ۵۰$ (۱ ماهه) — با گارانتی,CLAUDE-API-50USD-1M,2476000,6.72,2379,API/توکن,50$,۱ ماهه,با گارانتی,فعال,ابزارهای توسعه و برنامه‌نویسی,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16r7j006fpbg4xrf4pbmb,4623-claude-pro-۱-روزه,misleading-title,16,Claude Pro (۱ روزه),Claude Pro API — ۵۰M توکن (۱ روزه) — با گارانتی,CLAUDE-API-50M-1D,1651000,5.12,4623,API/توکن,50M توکن,۱ روزه,با گارانتی,فعال,ابزارهای توسعه و برنامه‌نویسی,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16r7o006hpbg4i75v5p09,2879-claude-pro-۱-ماهه,misleading-title,2,Claude Pro (۱ ماهه),Claude Pro سیت اشتراکی (۱ ماهه),CLAUDE-SEAT-1M,26243000,95,2879,سیت اشتراکی,,۱ ماهه,,فعال,هوش مصنوعی,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16r9u007dpbg4jlnw86r3,2916-cursor-pro-۱-ساله,true-duplicate,2,Cursor Pro (۱ ساله),Cursor Pro (۱ ساله),CURSOR-ACC-1M,29025000,105.07,2916,نامشخص,,۱ ساله,,غیرفعال,ابزارهای توسعه و برنامه‌نویسی,نگهداشتن (مبنا),پایین,2916-cursor-pro-۱-ساله,,,در انتظار تأیید
cmty16rbw008bpbg48axtjvav,3306-شماره-مجازی-فعالسازی-چتجیپیتی-openai-facebook-canada-,true-duplicate,2,شماره مجازی فعالسازی چت‌جی‌پی‌تی OpenAI (Facebook  Canada 🇨🇦),ChatGPT شماره مجازی,OPENAI-VNO-M,231000,0.5,3306,شماره مجازی,,,,فعال,شماره مجازی و OTP,ادغام/آرشیو,n/a,4752-شماره-مجازی-فعالسازی-چتجیپیتی-openai-facebook-canada-,4752-شماره-مجازی-فعالسازی-چتجیپیتی-openai-facebook-canada-,,در انتظار تأیید
cmty16rc0008dpbg4o4x57ay3,4752-شماره-مجازی-فعالسازی-چتجیپیتی-openai-facebook-canada-,true-duplicate,2,شماره مجازی فعالسازی چت‌جی‌پی‌تی OpenAI (facebook  Canada 🇨🇦 ⭐),ChatGPT شماره مجازی,OPENAI-VNO-M,19000,0.04,4752,شماره مجازی,,,,فعال,شماره مجازی و OTP,نگهداشتن (مبنا),n/a,4752-شماره-مجازی-فعالسازی-چتجیپیتی-openai-facebook-canada-,,,در انتظار تأیید
cmty16rcn008npbg494z3wzof,3142-شماره-مجازی-فعالسازی-چتجیپیتی-openai-facebook-netherlands-,true-duplicate,2,شماره مجازی فعالسازی چت‌جی‌پی‌تی OpenAI (facebook  Netherlands 🇳🇱 ⭐),ChatGPT شماره مجازی,OPENAI-VNO-M,24000,0.05,3142,شماره مجازی,,,,فعال,شماره مجازی و OTP,نگهداشتن (مبنا),n/a,3142-شماره-مجازی-فعالسازی-چتجیپیتی-openai-facebook-netherlands-,,,در انتظار تأیید
cmty16rcs008ppbg4yok5wnd3,3143-شماره-مجازی-فعالسازی-چتجیپیتی-openai-facebook-netherlands-,true-duplicate,2,شماره مجازی فعالسازی چت‌جی‌پی‌تی OpenAI (Facebook  Netherlands 🇳🇱 ⭐),ChatGPT شماره مجازی,OPENAI-VNO-M,152000,0.33,3143,شماره مجازی,,,,فعال,شماره مجازی و OTP,ادغام/آرشیو,n/a,3142-شماره-مجازی-فعالسازی-چتجیپیتی-openai-facebook-netherlands-,3142-شماره-مجازی-فعالسازی-چتجیپیتی-openai-facebook-netherlands-,,در انتظار تأیید
cmty16rdj008zpbg4m0972n4c,3510-شماره-مجازی-فعالسازی-چتجیپیتی-openai-facebook-usa-,true-duplicate,2,شماره مجازی فعالسازی چت‌جی‌پی‌تی OpenAI (Facebook  USA 🇺🇸 ⭐),ChatGPT شماره مجازی,OPENAI-VNO-M,346000,0.75,3510,شماره مجازی,,,,فعال,شماره مجازی و OTP,ادغام/آرشیو,n/a,3512-شماره-مجازی-فعالسازی-چتجیپیتی-openai-facebook-usa-,3512-شماره-مجازی-فعالسازی-چتجیپیتی-openai-facebook-usa-,,در انتظار تأیید
cmty16rdn0091pbg48riiwhvf,3512-شماره-مجازی-فعالسازی-چتجیپیتی-openai-facebook-usa-,true-duplicate,2,شماره مجازی فعالسازی چت‌جی‌پی‌تی OpenAI (Facebook  USA 🇺🇸 ⭐),ChatGPT شماره مجازی,OPENAI-VNO-M,291000,0.63,3512,شماره مجازی,,,,فعال,شماره مجازی و OTP,نگهداشتن (مبنا),n/a,3512-شماره-مجازی-فعالسازی-چتجیپیتی-openai-facebook-usa-,,,در انتظار تأیید
cmty16re10097pbg4k73g1c4o,3997-figma-pro-۱-ساله,true-duplicate,3,Figma Pro (۱ ساله),— (۱ ساله) — با گارانتی,ITEM-ACC-1M,3851000,11.15,3997,نامشخص,,۱ ساله,با گارانتی,فعال,طراحی و گرافیک,نگهداشتن (مبنا),پایین,3997-figma-pro-۱-ساله,,,در انتظار تأیید
cmty16rei009dpbg4m1b8p0au,2448-framer-pro-۱-ساله,true-duplicate,2,Framer Pro (۱ ساله),— (۱ ساله),ITEM-ACC-1M,6894000,19.95,2448,نامشخص,,۱ ساله,,غیرفعال,طراحی و گرافیک,ادغام/آرشیو,پایین,2899-framer-pro-12m,2899-framer-pro-12m,,در انتظار تأیید
cmty16rh800alpbg49x74i5mt,364-gemini-ai-pro-۱۸-ماهه,similar-title-family,2,جمنای پرو ۱۸ ماهه همراه ۵ ترابایت ابری | تحویل آنی,Gemini AI Pro (۱ ماهه),GEMINI-ACC-1M,875000,1.9,364,نامشخص,,۱ ماهه,,فعال,هوش مصنوعی,بررسی دستی (عنوان),پایین,,,,نیازمند بررسی
cmty16rhd00anpbg4ke3poerk,1787-gemini-veo-3-ultra-x20-random-slot-0-25k-credit-۱-ماهه,similar-title-family,2,Gemini Veo 3 Ultra X20 random slot 0-25k credit (۱ ماهه),Gemini AI Pro API — ۲۵K کردیت (۱ ماهه) — با گارانتی,GEMINI-API-25K-1M,7993000,24.8,1787,API/توکن,25K کردیت,۱ ماهه,با گارانتی,فعال,ابزارهای توسعه و برنامه‌نویسی,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16rjz00btpbg4cflfgplh,2987-gmail-random-ip-2010-2016-trial-youtube,true-duplicate,5,Gmail Random IP 2010-2016 trial YouTube,YouTube Premium,YOUTUBE-ACC-M,949000,2.29,2987,نامشخص,,,,غیرفعال,استریم و سرگرمی,ادغام/آرشیو,پایین,2371-gmail-random-ip-2010-2016-trial-youtube,2371-gmail-random-ip-2010-2016-trial-youtube,,در انتظار تأیید
cmty16rk300bvpbg4h3n32cwt,2370-gmail-stock-random-20102022,true-duplicate,2,Gmail Stock Random 2010~2022,Gmail,GMAIL-ACC-M,760000,1.65,2370,نامشخص,,,,فعال,نرم‌افزار و بهره‌وری,نگهداشتن (مبنا),پایین,2370-gmail-stock-random-20102022,,,در انتظار تأیید
cmty16rkt00c5pbg4m10z3ox3,2251-google-play-gift-card-us-google-play-us-us-10-gift-card-code,similar-title-family,7,Google Play Gift Card (US) - Google Play (US) - US $10 Gift Card Code,Google Play گیفت‌کارت ۱۰$,GPLAY-GC-10USD-M,4061000,11.76,2251,گیفت‌کارت,10$,,,فعال,گیمینگ و گیفت‌کارت,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16rkz00c7pbg4e0cup0jg,2255-google-play-gift-card-us-google-play-us-us-100-gift-card-code,similar-title-family,7,Google Play Gift Card (US) - Google Play (US) - US $100 Gift Card Code,Google Play گیفت‌کارت ۱۰۰$,GPLAY-GC-100USD-M,32467000,117.53,2255,گیفت‌کارت,100$,,,فعال,گیمینگ و گیفت‌کارت,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16rl300c9pbg4m1uxmp3z,2252-google-play-gift-card-us-google-play-us-us-15-gift-card-code,similar-title-family,7,Google Play Gift Card (US) - Google Play (US) - US $15 Gift Card Code,Google Play گیفت‌کارت ۱۵$,GPLAY-GC-15USD-M,6088000,17.63,2252,گیفت‌کارت,15$,,,فعال,گیمینگ و گیفت‌کارت,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16rl800cbpbg44bj2dwnj,2249-google-play-gift-card-us-google-play-us-us-200-gift-card-code,similar-title-family,7,Google Play Gift Card (US) - Google Play (US) - US $200 Gift Card Code,Google Play گیفت‌کارت ۲۰۰$,GPLAY-GC-200USD-M,62220000,235.03,2249,گیفت‌کارت,200$,,,فعال,گیمینگ و گیفت‌کارت,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16rlf00cdpbg4mfvn0jz1,2253-google-play-gift-card-us-google-play-us-us-25-gift-card-code,similar-title-family,7,Google Play Gift Card (US) - Google Play (US) - US $25 Gift Card Code,Google Play گیفت‌کارت ۲۵$,GPLAY-GC-25USD-M,9476000,29.4,2253,گیفت‌کارت,25$,,,فعال,گیمینگ و گیفت‌کارت,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16rlk00cfpbg4w997mmq0,2250-google-play-gift-card-us-google-play-us-us-5-gift-card-code,similar-title-family,7,Google Play Gift Card (US) - Google Play (US) - US $5 Gift Card Code,Google Play گیفت‌کارت ۵$,GPLAY-GC-5USD-M,2170000,5.89,2250,گیفت‌کارت,5$,,,فعال,گیمینگ و گیفت‌کارت,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16rlp00chpbg4j66emkx5,2254-google-play-gift-card-us-google-play-us-us-50-gift-card-code,similar-title-family,7,Google Play Gift Card (US) - Google Play (US) - US $50 Gift Card Code,Google Play گیفت‌کارت ۵۰$,GPLAY-GC-50USD-M,18941000,58.77,2254,گیفت‌کارت,50$,,,فعال,گیمینگ و گیفت‌کارت,تغییر عنوان (نگهداشتن),بالا,,,,در انتظار تأیید
cmty16rpv00e5pbg44dlc83r4,4266-شماره-مجازی-فعالسازی-google-youtubegmail-afghanistan-,similar-title-family,22,"شماره مجازی فعالسازی Google (,youtube,Gmail  Afghanistan 🇦🇫 ⭐)",YouTube Premium شماره مجازی,YOUTUBE-VNO-M,65000,0.14,4266,شماره مجازی,,,,فعال,شماره مجازی و OTP,نگهداشتن (بدون تغییر),n/a,,,,—
cmty16rq200e7pbg4c10vd264,4616-شماره-مجازی-فعالسازی-google-youtubegmail-bangladesh-,similar-title-family,22,"شماره مجازی فعالسازی Google (,youtube,Gmail  Bangladesh 🇧🇩 ⭐)",YouTube Premium شماره مجازی,YOUTUBE-VNO-M,56000,0.12,4616,شماره مجازی,,,,فعال,شماره مجازی و OTP,نگهداشتن (بدون تغییر),n/a,,,,—
cmty16rq800e9pbg4doh4lvic,3100-شماره-مجازی-فعالسازی-google-youtubegmail-brazil-,true-duplicate,3,"شماره مجازی فعالسازی Google (,youtube,Gmail  Brazil 🇧🇷)",YouTube Premium شماره مجازی,YOUTUBE-VNO-M,19000,0.04,3100,شماره مجازی,,,,غیرفعال,شماره مجازی و OTP,ادغام/آرشیو,n/a,5110-googleyoutubegmail-brazil-,5110-googleyoutubegmail-brazil-,,در انتظار تأیید
cmty16rqd00ebpbg4v9zm6slp,3232-شماره-مجازی-فعالسازی-google-youtubegmail-burundi-,similar-title-family,22,"شماره مجازی فعالسازی Google (,youtube,Gmail  Burundi 🇧🇮 ⭐)",YouTube Premium شماره مجازی,YOUTUBE-VNO-M,14000,0.03,3232,شماره مجازی,,,,فعال,شماره مجازی و OTP,نگهداشتن (بدون تغییر),n/a,,,,—
cmty16rqj00edpbg4yk9wm5it,3624-شماره-مجازی-فعالسازی-google-youtubegmail-canada-,similar-title-family,22,"شماره مجازی فعالسازی Google (,youtube,Gmail  Canada 🇨🇦 ⭐)",YouTube Premium شماره مجازی,YOUTUBE-VNO-M,19000,0.04,3624,شماره مجازی,,,,فعال,شماره مجازی و OTP,نگهداشتن (بدون تغییر),n/a,,,,—
cmty16rqn00efpbg4kxjsmykn,3623-شماره-مجازی-فعالسازی-google-youtubegmail-chile-,similar-title-family,22,"شماره مجازی فعالسازی Google (,youtube,Gmail  Chile 🇨🇱)",YouTube Premium شماره مجازی,YOUTUBE-VNO-M,19000,0.04,3623,شماره مجازی,,,,فعال,شماره مجازی و OTP,نگهداشتن (بدون تغییر),n/a,,,,—
cmty16rqt00ehpbg4q9ht88j7,3622-شماره-مجازی-فعالسازی-google-youtubegmail-ecuador-,similar-title-family,22,"شماره مجازی فعالسازی Google (,youtube,Gmail  Ecuador 🇪🇨)",YouTube Premium شماره مجازی,YOUTUBE-VNO-M,14000,0.03,3622,شماره مجازی,,,,فعال,شماره مجازی و OTP,نگهداشتن (بدون تغییر),n/a,,,,—
cmty16rqy00ejpbg4m5gtr2ij,3617-شماره-مجازی-فعالسازی-google-youtubegmail-indonesia-,similar-title-family,22,"شماره مجازی فعالسازی Google (,youtube,Gmail  Indonesia 🇮🇩)",YouTube Premium شماره مجازی,YOUTUBE-VNO-M,14000,0.03,3617,شماره مجازی,,,,فعال,شماره مجازی و OTP,نگهداشتن (بدون تغییر),n/a,,,,—
cmty16rr300elpbg4fx3ba6kl,3619-شماره-مجازی-فعالسازی-google-youtubegmail-kosovo,similar-title-family,22,"شماره مجازی فعالسازی Google (,youtube,Gmail  Kosovo)",YouTube Premium شماره مجازی,YOUTUBE-VNO-M,14000,0.03,3619,شماره مجازی,,,,فعال,شماره مجازی و OTP,نگهداشتن (بدون تغییر),n/a,,,,—
